framed,player_id,round_nr,participant_code,s1,s1_cum,s1_freq,df
1,1,25,sj2ft9f6,1,19,0.76,2.171428571
0,1,25,t1tzrcmi,0,2,0.08,1.8
0,1,25,tcleibkp,0,9,0.36,2.771428571
1,1,25,u9xqjsvk,0,14,0.56,3.257142857
0,1,25,ursirs43,1,20,0.8,2.257142857
1,1,25,uwz2vbjr,1,24,0.96,2.6
0,1,25,w8d4usex,0,12,0.48,2.657142857
0,1,25,wh4u3tph,0,0,0,2.4
1,1,25,xtfge1ys,1,20,0.8,1.771428571
0,1,25,xurwn6zz,0,12,0.48,2.428571429
0,1,25,ycniewr6,0,4,0.16,1.742857143
1,1,25,yh9eenkb,0,0,0,2.114285714
1,1,25,z50vt4g0,0,2,0.08,2.6
1,1,25,zo9j0hsi,1,11,0.44,2.657142857
0,2,25,0xwx0wrp,0,11,0.44,2.457142857
0,2,25,17fpqn72,0,1,0.04,2.485714286
0,2,25,20cc9xq0,0,2,0.08,1.914285714
1,2,25,2fsj9qvt,0,1,0.04,2.228571429
1,2,25,3u51j68w,0,7,0.28,1.514285714
0,2,25,4txwixdq,0,3,0.12,1.571428571
1,2,25,6fsse8c1,0,14,0.56,2.514285714
0,2,25,6h8woyh9,0,6,0.24,1.771428571
1,2,25,6ub1usmw,0,1,0.04,2.228571429
1,2,25,6zqxv643,0,0,0,1.428571429
1,2,25,7lpmb9fe,0,9,0.36,1.657142857
1,2,25,b689r07v,0,8,0.32,1.857142857
1,2,25,b7ctrqau,0,0,0,1.485714286
0,2,25,cpep7vdg,0,5,0.2,3.171428571
0,2,25,d3nnqhj1,0,0,0,2.342857143
