framed,round,PU,QL,NE_PU,NE_QL,IBT_PU,IBT_QL,AS_N,AS_PU,AS_QL,PS_N,PS_PU,PS_QL,QRE_lambda,QRE_PU,QRE_QL,NE_ed,IBT_ed,AS_ed,PS_ed,QRE_ed
1,27,0.486111111,0.171296296,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.502553538,0.453179114,0.218853425,0.296738674,0.03648351,0.046420463,0.063443017,0.057846321
1,28,0.485119048,0.171130952,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.504537973,0.452537401,0.218548166,0.295826297,0.035998912,0.045449296,0.062668412,0.057532216
1,29,0.487068966,0.166666667,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.506515974,0.451899308,0.218247196,0.298919781,0.032557349,0.048026164,0.06667368,0.062429607
1,30,0.488888889,0.165277778,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.504979708,0.452394766,0.218480668,0.301055884,0.032122554,0.050085267,0.068956416,0.064516421
1,31,0.48655914,0.162634409,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.512265845,0.450053248,0.217390702,0.299581186,0.028700175,0.048453947,0.068534911,0.065809815
1,32,0.485677083,0.162760417,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.513695126,0.449596416,0.217181982,0.298700755,0.028427219,0.047570728,0.067748389,0.065295645
1,33,0.482323232,0.162878788,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.519651187,0.44770163,0.216329751,0.295459833,0.027286011,0.044318327,0.065003976,0.06368407
1,34,0.479166667,0.161764706,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.52684993,0.44543093,0.215336561,0.292778918,0.025359696,0.041666096,0.063265448,0.063309111
1,35,0.478571429,0.160714286,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.529214576,0.44468974,0.21501889,0.292530305,0.02420693,0.041473498,0.063507252,0.064007491
1,36,0.474537037,0.158564815,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.539470444,0.441502266,0.213688556,0.289363055,0.021563646,0.038643743,0.062067583,0.064264477
1,37,0.475225225,0.161036036,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.535236822,0.442812672,0.214228501,0.289246455,0.024069167,0.03824792,0.060824559,0.062289742
1,38,0.475877193,0.164473684,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.52988613,0.444479669,0.214929432,0.288830359,0.027546004,0.037688043,0.059004905,0.059427157
1,39,0.479700855,0.163461538,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.523826859,0.446381889,0.215748816,0.292782297,0.027132749,0.04163998,0.062589419,0.06200091
1,40,0.48125,0.159375,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.525775275,0.445768547,0.215482319,0.295490191,0.023623169,0.044455912,0.066403676,0.066384974
1,41,0.480691057,0.156504065,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.53015664,0.444395104,0.214893492,0.295852935,0.020729587,0.045082083,0.067910645,0.068751155
1,42,0.479166667,0.154761905,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.535014248,0.442881774,0.214257243,0.294964951,0.018590423,0.04450028,0.068027058,0.069687077
1,43,0.476744186,0.153100775,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.541503119,0.440875812,0.213433824,0.293218015,0.016382139,0.043222899,0.067552606,0.070189864
1,44,0.476325758,0.150568182,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.545164133,0.439751968,0.212982289,0.293670923,0.013816467,0.044254312,0.069166382,0.072340603
1,45,0.477777778,0.149074074,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.544069313,0.44008745,0.213116349,0.295544474,0.012752953,0.046299741,0.07124637,0.074309984
1,46,0.476449275,0.148550725,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.547181393,0.439135173,0.212737426,0.294476073,0.011873894,0.04552947,0.070784183,0.074244695
1,47,0.476950355,0.14893617,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.545795731,0.439558664,0.212905324,0.294814173,0.012374232,0.045705923,0.070812075,0.074095825
1,48,0.4765625,0.1484375,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.547090799,0.439162835,0.212748363,0.29462138,0.011791814,0.045687885,0.070943659,0.07439504
1,49,0.477040816,0.146258503,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.548587928,0.438706148,0.21256833,0.295827504,0.009853656,0.047394535,0.072930225,0.076593341
1,50,0.475,0.145,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.553876898,0.437100529,0.211944336,0.294363721,0.008098949,0.046631534,0.072660994,0.076927979
1,51,0.475490196,0.144607843,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.553361044,0.437256599,0.212004381,0.294961616,0.007816068,0.047258695,0.07326981,0.077486136
1,52,0.473557692,0.144230769,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.557509401,0.436004795,0.211526432,0.293293268,0.0072099,0.046077682,0.072420538,0.07706443
1,53,0.47327044,0.143081761,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.559313664,0.435462675,0.211322029,0.293442061,0.006070251,0.046664074,0.073188577,0.078013853
