DF_split,Shape,Equilibria,PU,PL
QRE_it,QRE,QRE_it,0.523038091,0.275701689
QRE_it,QRE,QRE_it,0.522711567,0.275252452
QRE_it,QRE,QRE_it,0.522384312,0.274805409
QRE_it,QRE,QRE_it,0.522056337,0.274360552
QRE_it,QRE,QRE_it,0.521727656,0.273917874
QRE_it,QRE,QRE_it,0.52139828,0.273477367
QRE_it,QRE,QRE_it,0.521068223,0.273039022
QRE_it,QRE,QRE_it,0.520737496,0.272602831
QRE_it,QRE,QRE_it,0.520406111,0.272168786
QRE_it,QRE,QRE_it,0.52007408,0.271736879
QRE_it,QRE,QRE_it,0.519741416,0.271307102
QRE_it,QRE,QRE_it,0.51940813,0.270879447
QRE_it,QRE,QRE_it,0.519074233,0.270453906
QRE_it,QRE,QRE_it,0.518739737,0.270030469
QRE_it,QRE,QRE_it,0.518404655,0.26960913
QRE_it,QRE,QRE_it,0.518068998,0.269189883
QRE_it,QRE,QRE_it,0.517732775,0.268772714
QRE_it,QRE,QRE_it,0.517395998,0.268357619
QRE_it,QRE,QRE_it,0.51705868,0.267944588
QRE_it,QRE,QRE_it,0.516720829,0.267533613
QRE_it,QRE,QRE_it,0.516382459,0.267124686
QRE_it,QRE,QRE_it,0.516043578,0.2667178
QRE_it,QRE,QRE_it,0.515704199,0.266312945
QRE_it,QRE,QRE_it,0.515364331,0.265910114
QRE_it,QRE,QRE_it,0.515023986,0.265509298
QRE_it,QRE,QRE_it,0.514683173,0.26511049
QRE_it,QRE,QRE_it,0.514341903,0.26471368
QRE_it,QRE,QRE_it,0.514000186,0.264318861
QRE_it,QRE,QRE_it,0.513658032,0.263926025
QRE_it,QRE,QRE_it,0.513315452,0.263535164
QRE_it,QRE,QRE_it,0.512972455,0.263146268
QRE_it,QRE,QRE_it,0.512629051,0.262759331
QRE_it,QRE,QRE_it,0.51228525,0.262374344
QRE_it,QRE,QRE_it,0.511941062,0.261991298
QRE_it,QRE,QRE_it,0.511596496,0.261610186
QRE_it,QRE,QRE_it,0.511251562,0.261231
QRE_it,QRE,QRE_it,0.510906269,0.26085373
QRE_it,QRE,QRE_it,0.510560626,0.26047837
QRE_it,QRE,QRE_it,0.510214644,0.260104911
QRE_it,QRE,QRE_it,0.50986833,0.259733345
QRE_it,QRE,QRE_it,0.509521695,0.259363664
QRE_it,QRE,QRE_it,0.509174747,0.258995859
QRE_it,QRE,QRE_it,0.508827494,0.258629924
QRE_it,QRE,QRE_it,0.508479947,0.258265848
