examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
362,Control,1,13,35,430,Cheat,1,0,17,"Control, Cheat",1,12,2
374,Don't Control,0,14,35,290,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
405,Don't Control,0,2,36,340,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
498,Don't Control,0,3,36,496,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
426,Don't Control,0,4,36,450,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
423,Don't Control,0,6,36,496,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
453,Don't Control,0,7,36,458,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
429,Control,1,8,36,426,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
447,Don't Control,0,9,36,478,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
460,Don't Control,0,10,36,462,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
404,Control,1,11,36,324,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
462,Don't Control,0,12,36,448,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
373,Control,1,13,36,440,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
388,Don't Control,0,14,36,304,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
408,Don't Control,0,2,37,356,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
512,Don't Control,0,3,37,510,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
437,Control,1,4,37,460,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
437,Don't Control,0,6,37,510,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
467,Don't Control,0,7,37,472,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
440,Control,1,8,37,436,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
461,Don't Control,0,9,37,492,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
474,Don't Control,0,10,37,476,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
415,Control,1,11,37,334,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
476,Don't Control,0,12,37,462,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
384,Control,1,13,37,450,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
402,Don't Control,0,14,37,318,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
420,Control,1,2,38,358,Cheat,1,0,17,"Control, Cheat",1,12,2
526,Don't Control,0,3,38,524,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
448,Control,1,4,38,470,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
451,Don't Control,0,6,38,524,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
481,Don't Control,0,7,38,486,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
451,Control,1,8,38,446,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
475,Don't Control,0,9,38,506,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
