participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,gender,p1_payoff,p2_payoff,degree_str,degree,Age,age_str,nationality,s1_cumulative,s1_freq,Framing,treatment
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,490,Don't Control,,0,0,0,1,1,36,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.027777778,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,502,,Don't Cheat,0,0,0,1,1,36,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.027777778,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,504,Don't Control,,0,0,0,1,1,37,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.027027027,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,516,,Don't Cheat,0,0,0,1,1,37,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.027027027,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,518,Don't Control,,0,0,0,1,1,38,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.026315789,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,530,,Don't Cheat,0,0,0,1,1,38,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.026315789,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,532,Don't Control,,0,0,0,1,1,39,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.025641026,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,544,,Don't Cheat,0,0,0,1,1,39,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.025641026,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,546,Don't Control,,0,0,0,1,1,40,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.025,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,558,,Don't Cheat,0,0,0,1,1,40,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.025,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,560,Don't Control,,0,0,0,1,1,41,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.024390244,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,572,,Don't Cheat,0,0,0,1,1,41,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.024390244,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,574,Don't Control,,0,0,0,1,1,42,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.023809524,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,586,,Don't Cheat,0,0,0,1,1,42,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.023809524,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,588,Don't Control,,0,0,0,1,1,43,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.023255814,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,600,,Don't Cheat,0,0,0,1,1,43,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.023255814,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,602,Don't Control,,0,0,0,1,1,44,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.022727273,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,614,,Don't Cheat,0,0,0,1,1,44,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.022727273,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,616,Don't Control,,0,0,0,1,1,45,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.022222222,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,628,,Don't Cheat,0,0,0,1,1,45,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.022222222,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,630,Don't Control,,0,0,0,1,1,46,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.02173913,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,642,,Don't Cheat,0,0,0,1,1,46,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.02173913,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,644,Don't Control,,0,0,0,1,1,47,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.021276596,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,656,,Don't Cheat,0,0,0,1,1,47,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.021276596,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,658,Don't Control,,0,0,0,1,1,48,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.020833333,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,670,,Don't Cheat,0,0,0,1,1,48,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.020833333,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,672,Don't Control,,0,0,0,1,1,49,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.020408163,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,684,,Don't Cheat,0,0,0,1,1,49,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.020408163,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,686,Don't Control,,0,0,0,1,1,50,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.02,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,698,,Don't Cheat,0,0,0,1,1,50,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.02,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,700,Don't Control,,0,0,0,1,1,51,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.019607843,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,712,,Don't Cheat,0,0,0,1,1,51,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.019607843,1,framed
