,lambda,p1_s1,p1_s2,p2_s1,p2_s2
1751,1.7510000000000001,0.27758575495196414,0.7224142450480359,0.20447987775245557,0.7955201222475443
1752,1.752,0.2775364574788615,0.7224635425211385,0.204494165921065,0.795505834078935
1753,1.7530000000000001,0.27748721786336394,0.7225127821366362,0.20450845022834604,0.795491549771654
1754,1.754,0.27743803601046146,0.7225619639895386,0.20452273066231927,0.7954772693376807
1755,1.7550000000000001,0.2773889118253371,0.7226110881746629,0.2045370072110674,0.7954629927889326
1756,1.756,0.27733984521336874,0.7226601547866314,0.20455127986273447,0.7954487201372655
1757,1.7570000000000001,0.2772908360801264,0.7227091639198735,0.204565548605526,0.7954344513944739
1758,1.758,0.27724188433137387,0.7227581156686262,0.20457981342770834,0.7954201865722917
1759,1.7590000000000001,0.2771929898730663,0.7228070101269336,0.20459407431760931,0.7954059256823907
1760,1.76,0.27714415261135156,0.7228558473886486,0.20460833126361702,0.795391668736383
1761,1.7610000000000001,0.2770953724525678,0.7229046275474322,0.20462258425417973,0.7953774157458203
1762,1.762,0.2770466493032456,0.7229533506967544,0.204636833277806,0.795363166722194
1763,1.7630000000000001,0.2769979830701046,0.7230020169298954,0.2046510783230648,0.7953489216769353
1764,1.764,0.27694937366005584,0.7230506263399442,0.2046653193785838,0.7953346806214162
1765,1.7650000000000001,0.2769008209801899,0.7230991790198101,0.2046795564330534,0.7953204435669465
1766,1.766,0.2768523249378154,0.7231476750621846,0.20469378947521474,0.7953062105247852
1767,1.7670000000000001,0.27680388544039963,0.7231961145596002,0.20470801849387635,0.7952919815061236
1768,1.768,0.2767555023956088,0.7232444976043911,0.2047222434779029,0.7952777565220972
1769,1.7690000000000001,0.27670717571129644,0.7232928242887036,0.20473646441621698,0.795263535583783
1770,1.77,0.27665890529550446,0.7233410947044956,0.20475068129779977,0.7952493187022003
1771,1.7710000000000001,0.27661069105646025,0.7233893089435397,0.2047648941116903,0.7952351058883097
1772,1.772,0.2765625329025796,0.7234374670974204,0.2047791028469851,0.795220897153015
1773,1.7730000000000001,0.27651443074246285,0.7234855692575372,0.20479330749283853,0.7952066925071616
1774,1.774,0.27646638448489663,0.7235336155151034,0.20480750803846223,0.7951924919615377
1775,1.7750000000000001,0.2764183940388522,0.7235816059611477,0.2048217044731249,0.795178295526875
1776,1.776,0.27637045971103485,0.7236295402889651,0.20483589666839602,0.795164103331604
1777,1.7770000000000001,0.2763225805281641,0.7236774194718358,0.20485008487501444,0.7951499151249856
1778,1.778,0.27627475689542164,0.7237252431045784,0.20486426893572202,0.7951357310642779
1779,1.7790000000000001,0.27622698872253043,0.7237730112774696,0.2048784488400006,0.7951215511599995
1780,1.78,0.27617927591939595,0.723820724080604,0.2048926245773882,0.7951073754226118
1781,1.7810000000000001,0.2761316183961076,0.7238683816038924,0.20490679613747792,0.795093203862522
1782,1.782,0.2760840160629362,0.7239159839370639,0.20492096350991876,0.7950790364900812
1783,1.7830000000000001,0.27603646883033595,0.723963531169664,0.20493512668441413,0.7950648733155858
1784,1.784,0.2759889766089519,0.7240110233910481,0.20494928565071993,0.7950507143492801
1785,1.7850000000000001,0.27594153932262805,0.724058460677372,0.2049634403947608,0.7950365596052392
1786,1.786,0.27589415684888713,0.7241058431511129,0.2049775909163956,0.7950224090836043
1787,1.7870000000000001,0.275846829112985,0.7241531708870149,0.2049917372013521,0.7950082627986479
1788,1.788,0.2757995560019503,0.7242004439980497,0.20500587924689295,0.7949941207531072
1789,1.7890000000000001,0.2757523378806485,0.724247662119353,0.20502001690728233,0.7949799830927178
1790,1.79,0.2757051733949963,0.7242948266050038,0.2050341505517574,0.7949658494482427
1791,1.7910000000000001,0.27565806370319407,0.724341936296806,0.20504827979714968,0.7949517202028503
1792,1.792,0.2756110083031721,0.7243889916968279,0.20506240475770876,0.7949375952422912
1793,1.793,0.27556400710725754,0.7244359928927424,0.20507652542366273,0.7949234745763373
1794,1.794,0.27551706002789633,0.7244829399721037,0.20509064178531033,0.7949093582146897
1795,1.795,0.2754701669776913,0.7245298330223087,0.20510475383300886,0.7948952461669911
1796,1.796,0.2754233278694136,0.7245766721305864,0.2051188615571703,0.7948811384428298
1797,1.797,0.27537654261600536,0.7246234573839946,0.2051329649482601,0.79486703505174
1798,1.798,0.27532981113058347,0.7246701888694166,0.20514706399679608,0.794852936003204
1799,1.799,0.2752831333264375,0.7247168666735625,0.20516115869334886,0.7948388413066511
1800,1.8,0.2752365091170315,0.7247634908829684,0.2051752490285399,0.7948247509714601
1801,1.801,0.2751899384160033,0.7248100615839967,0.2051893349930429,0.7948106650069571
1802,1.802,0.2751434211371638,0.7248565788628364,0.20520341657758215,0.7947965834224178
1803,1.803,0.2750969571944978,0.7249030428055022,0.2052174937729335,0.7947825062270666
1804,1.804,0.2750505465021623,0.7249494534978378,0.20523156656992347,0.7947684334300765
1805,1.805,0.27500418897448736,0.7249958110255128,0.2052456349594286,0.7947543650405714
1806,1.806,0.2749578845259745,0.7250421154740256,0.20525969893237636,0.7947403010676236
1807,1.807,0.2749116330712978,0.7250883669287022,0.20527375847974424,0.7947262415202557
1808,1.808,0.27486543452530166,0.7251345654746982,0.20528781359255974,0.7947121864074401
1809,1.809,0.2748192888030026,0.7251807111969973,0.2053018642618997,0.7946981357381003
1810,1.81,0.2747731958195865,0.7252268041804134,0.20531591047889064,0.7946840895211094
1811,1.811,0.27472715549041044,0.7252728445095896,0.2053299522347088,0.7946700477652914
1812,1.812,0.2746811677310003,0.7253188322689997,0.2053439895205788,0.7946560104794211
1813,1.813,0.2746352324570526,0.7253647675429473,0.2053580223277752,0.7946419776722249
1814,1.814,0.2745893495844312,0.7254106504155688,0.20537205064761999,0.79462794935238
