id_in_session_p1,id_in_session_p2,participant_code_p1,participant_code_p2,total_payoff_p1,total_payoff_p2,payoff_round_p1,payoff_round_p2,examiner_decision,student_decision,Cell,p1s1,p1s2,p2s1,p2s2,pf_diff_p1_val,pf_diff_p2_val,pf_diff_p1_abs,pf_diff_p2_abs,pf_diff_p1_s,pf_diff_p2_s,game_id,round_number,framing
7,8,3fmd8mik,qkypffhk,350,350,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,25,1
9,10,r3oyr52t,3u51j68w,273,364,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,r3oyr52t3u51j68w,25,1
11,12,xtfge1ys,i2nn9ow6,296,136,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,xtfge1ysi2nn9ow6,25,1
13,14,uwz2vbjr,b7ctrqau,278,254,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,25,1
15,16,ipmny9rq,i18sqw1f,347,346,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,25,1
17,18,ouaa8yuq,qxal8ioj,325,298,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,ouaa8yuqqxal8ioj,25,1
19,20,oy8wn5im,y9iygxxf,326,318,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,oy8wn5imy9iygxxf,25,1
21,22,9smjkz19,6ub1usmw,339,352,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,25,1
23,24,0bmasffv,6zqxv643,284,262,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,0bmasffv6zqxv643,25,1
25,26,sj2ft9f6,6fsse8c1,271,192,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,sj2ft9f66fsse8c1,25,1
27,28,rj5j60np,i7rlg7cc,285,280,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,rj5j60npi7rlg7cc,25,1
1,2,265l99ai,2fsj9qvt,350,362,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,26,1
3,4,7xjh9hwo,e8jis7nf,281,270,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,26,1
5,6,zo9j0hsi,iyu7t1vc,246,312,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,zo9j0hsiiyu7t1vc,26,1
7,8,3fmd8mik,qkypffhk,364,364,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,26,1
9,10,r3oyr52t,3u51j68w,287,378,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,26,1
11,12,xtfge1ys,i2nn9ow6,308,138,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,xtfge1ysi2nn9ow6,26,1
13,14,uwz2vbjr,b7ctrqau,289,264,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,26,1
15,16,ipmny9rq,i18sqw1f,361,360,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,26,1
17,18,ouaa8yuq,qxal8ioj,328,314,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,ouaa8yuqqxal8ioj,26,1
19,20,oy8wn5im,y9iygxxf,340,332,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,26,1
21,22,9smjkz19,6ub1usmw,353,366,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,26,1
23,24,0bmasffv,6zqxv643,295,272,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,0bmasffv6zqxv643,26,1
25,26,sj2ft9f6,6fsse8c1,282,202,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,sj2ft9f66fsse8c1,26,1
27,28,rj5j60np,i7rlg7cc,296,290,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,26,1
1,2,265l99ai,2fsj9qvt,364,376,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,27,1
3,4,7xjh9hwo,e8jis7nf,292,280,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,27,1
5,6,zo9j0hsi,iyu7t1vc,249,328,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,zo9j0hsiiyu7t1vc,27,1
7,8,3fmd8mik,qkypffhk,378,378,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,27,1
9,10,r3oyr52t,3u51j68w,290,394,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,r3oyr52t3u51j68w,27,1
11,12,xtfge1ys,i2nn9ow6,319,148,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,xtfge1ysi2nn9ow6,27,1
